index,Year,Quarter,LocationAbbr,LocationDesc,HealthTopic,PolicyTopic,DataSource,Setting,Title,Status,Citation,StatusAltValue
2343,2015,1,MN,Minnesota,Physical Activity,Disparities/Equity,DNPAO,Community,"""Programs to support bicycle, pedestrian, and other nonmotorized transportation activities""",Introduced,SB1376,0
2344,2011,1,RI,Rhode Island,Nutrition,Task Forces/Councils,DNPAO,Medical and/or Hospital,Health and Safety,Dead,H5979,3
2345,2011,1,MD,Maryland,Nutrition,Food Policy Councils,DNPAO,Restaurant/Retail,Maryland Food and Nutrition Policy Council,Dead,H441,3
2346,2012,3,MA,Massachusetts,Physical Activity,Public Transportation,DNPAO,Community,Infrastructure Investment,Dead,S2350,3
2347,2011,1,HI,Hawaii,Physical Activity,Bicycling,DNPAO,Community,Electric Motor Bicycle,Dead,H101,3
2348,2010,1,MN,Minnesota,Nutrition,Appropriations,DNPAO,Community,Human Services,Enacted,H936,1
2349,2010,1,HI,Hawaii,Nutrition,Food Policy Councils,DNPAO,School/After School,Farm to School Models,Dead,HR208,3
2350,2010,1,IL,Illinois,Obesity,Marketing Restrictions,DNPAO,Community,Department Of Commerce And Economic Opportunity,Dead,H6797,3
2351,2010,1,LA,Louisiana,Nutrition,Task Forces/Councils,DNPAO,Community,Health,Enacted,HCR150,1
2352,2009,1,MN,Minnesota,Physical Activity,Bicycling,DNPAO,Community,Capital Investment,Dead,H397,3
2353,2009,1,VT,Vermont,Nutrition,Farm Direct Foods,DNPAO,Community,Recovery and Reinvestment Act,Dead,S137,3
2354,2012,1,IA,Iowa,Physical Activity,Pedestrians/Walking,DNPAO,Community,An Act Making Appropriations<br>,Dead,S2316,3
2355,2013,1,TX,Texas,Nutrition,Access to Healthy Foods,DNPAO,Community,An Act Relating to Allowable Food Purchases Under the Supplemental Nutrition Assistance Program,Introduced,HB1101,0
2356,2011,1,CT,Connecticut,Nutrition,Incentives,DNPAO,Community,An Act Concerning the Governor's Council for Agricultural Development<br>,Enacted,H5508,1
2357,2011,1,NY,New York,Nutrition,Agriculture and Farming,DNPAO,Restaurant/Retail,An Act to Amend the New York State Urban Development Corporation Act,Enacted,S614,1
2358,2011,1,OR,Oregon,Nutrition,Appropriations,DNPAO,School/After School,An Act Relating to Oregon Farm-to-School and School Garden Program<br>,Enacted,H2800,1
2359,2009,1,NH,New Hampshire,Obesity,Appropriations,DNPAO,Community,Walkable and Bikable Communities,Dead,LSR2321,3
2360,2009,1,AL,Alabama,Physical Activity,Physical Education Requirements,DNPAO,School/After School,Section 16 40 1 Code of Alabama 1975 Relating to Physic,Dead,S552,3
2361,2011,1,NV,Nevada,Nutrition,Appropriations,DNPAO,School/After School,Nutrition in Public Schools,Dead,A137,3
2362,2010,1,IA,Iowa,Nutrition,Medical Care,DNPAO,Community,Natural Resources and Outdoor Recreation Trust Fund,Enacted,S2310,1
2363,2009,1,CA,California,Nutrition,Fruits and Vegetables,DNPAO,Community,Agriculture: Victory Garden Growers,Dead,S362,3
2364,2010,1,KY,Kentucky,Obesity,Menu Labeling,DNPAO,Restaurant/Retail,Restaurant Display of Caloric Information,Dead,S86,3
2365,2010,1,IL,Illinois,Obesity,Appropriations,DNPAO,School/After School,Farm Fresh Schools Program Act,Dead,S3641,3
2366,2010,1,TX,Texas,Physical Activity,Disparities/Equity,DNPAO,Community,Definitions for Housing Program Activities,Enacted,R19248,1
2367,2010,1,WV,West Virginia,Obesity,Appropriations,DNPAO,School/After School,Innovation Zone Plans,Enacted,H4669,1
2368,2012,1,NY,New York,Nutrition,Nutrition Standards,DNPAO,Restaurant/Retail,Setting Nutrition Standards for Restaurants Distributing Incentive Items Aimed at Children<br>,Dead,S6386,3
2369,2011,1,IL,Illinois,Physical Activity,Public Safety,DNPAO,Community,Innovation Development and Economy Act,Enacted,S1712,1
2370,2009,1,MO,Missouri,Nutrition,Task Forces/Councils,DNPAO,School/After School,Office of Child Nutrition and Wellness,Dead,H758,3
2371,2013,1,AL,Alabama,Nutrition,Fruits and Vegetables,DNPAO,Community,An Act Relating to the Farmers’ Market Authority,Introduced,HB342,0
2372,2010,1,IL,Illinois,Obesity,Appropriations,DNPAO,Community,Reckless Driving,Enacted,S2951,1
2373,2009,1,NY,New York,Physical Activity,Built Environment and Street-Scale Design,DNPAO,Community,Safe Access to Public Roads,Dead,A8587,3
2374,2011,1,MO,Missouri,Obesity,Appropriations,DNPAO,Restaurant/Retail,Streamlined Sales and Use Tax Agreement,Dead,H52,3
2375,2011,1,HI,Hawaii,Nutrition,Appropriations,DNPAO,Restaurant/Retail,Taxation,Dead,H1216,3
2376,2011,1,UT,Utah,Physical Activity,Built Environment and Street-Scale Design,DNPAO,Community,Cycling Laws on Roadway,Dead,H155,3
2377,2010,1,IL,Illinois,Nutrition,Disparities/Equity,DNPAO,Community,Food for Families,Dead,H5173,3
2378,2013,1,AR,Arkansas,Nutrition,Appropriations,DNPAO,Community,Block Grant Pre-Expenditure Report Amendment,Enacted,6480,1
2379,2010,1,NV,Nevada,Obesity,Appropriations,DNPAO,Community,Funding of State and Local Government,Enacted,A6b,1
2380,2007,1,NC,North Carolina,Nutrition,Healthier Food Retail and Food Deserts,DNPAO,Work Place,2007 Appropriation Act,Enacted,H1473,1
2381,2011,1,OR,Oregon,Physical Activity,Pedestrians/Walking,DNPAO,Community,Transit Benefit Districts,Dead,H3178,3
2382,2011,1,WA,Washington,Obesity,Appropriations,DNPAO,Community,Bicyclist and Motorist Mutual Responsibilities,Dead,H1018,3
2383,2009,1,IL,Illinois,Nutrition,Appropriations,DNPAO,Community,Makes Appropriations,Dead,H4348,3
2384,2012,1,HI,Hawaii,Nutrition,Task Forces/Councils,DNPAO,Community,An Act Relating to Sustainability,Dead,S2512,3
2385,2011,1,WA,Washington,Physical Activity,Physical Education Requirements,DNPAO,School/After School,Flexibility School Districts,Dead,H1025,3
2386,2009,1,NC,North Carolina,Physical Activity,Task Forces/Councils,DNPAO,School/After School,Active Living Communities Commission,Dead,H1121,3
2387,2011,1,NY,New York,Nutrition,Agriculture and Farming,DNPAO,School/After School,State Farm Product Transportation Financed,Dead,A1389,3
2388,2011,1,NY,New York,Obesity,Appropriations,DNPAO,School/After School,Grant Program for Collaborative School Initiatives,Dead,A5220,3
2389,2010,1,IA,Iowa,Nutrition,Appropriations,DNPAO,Community,Block Grants,Dead,SSB3227,3
2390,2010,1,KY,Kentucky,Nutrition,Agriculture and Farming,DNPAO,Community,Agriculture,Enacted,H486,1
2391,2011,1,ME,Maine,Physical Activity,Appropriations,DNPAO,Community,Future Bond Program,Enacted,R9668,1
2392,2013,4,AL,Alabama,Physical Activity,Physical Activity Requirements,DNPAO,School/After School,Public School Governance,Enacted,9506,1
2393,2007,1,RI,Rhode Island,Nutrition,School Nutrition,DNPAO,School/After School,High School Snacks and Beverages,Enacted,H5050,1
2394,2013,1,HI,Hawaii,Nutrition,Appropriations,DNPAO,Community,Relating to Urban Agriculture,Introduced,SB1326,0
2395,2011,1,NY,New York,Obesity,Front of Package Labeling,DNPAO,School/After School,Use of School Facilities,Dead,S3647,3
2396,2014,1,MA,Massachusetts,Physical Activity,Built Environment and Street-Scale Design,DNPAO,Community,Sustainable Development Principles,Enacted,10305,1
2397,2011,1,NV,Nevada,Obesity,Body Mass Index (BMI),DNPAO,Community,Eminent Domain,Enacted,S86,1
2398,2010,1,NY,New York,Nutrition,Medical Care,DNPAO,Community,Drivers Education Course,Dead,S8487,3
2399,2010,1,AL,Alabama,Nutrition,Agriculture and Farming,DNPAO,Community,Farmers Market,Enacted,HR439,1
2400,2011,1,ID,Idaho,Physical Activity,Public Safety,DNPAO,Community,Eminent Domain,Dead,H242,3
2401,2007,1,HI,Hawaii,Nutrition,Appropriations,DNPAO,Community,Dairy and Egg Farm Revitalization,Enacted,H1221,1
2402,2011,1,CA,California,Nutrition,Access to Healthy Foods,DNPAO,Community,Public Contracts: Healthy and Sustainable Food,Dead,A727,3
2403,2007,1,TX,Texas,Nutrition,Task Forces/Councils,DNPAO,School/After School,Diabetes Risk Assessment Program,Enacted,S415,1
2404,2010,1,MD,Maryland,Nutrition,Appropriations,DNPAO,Community,Program Open Space,Dead,H220,3
2405,2015,1,MD,Maryland,Physical Activity,Physical Activity Requirements,DNPAO,School/After School,Student Health and Fitness Act,Introduced,HB247,0
2406,2009,1,NY,New York,Nutrition,Appropriations,DNPAO,Restaurant/Retail,State Farm Grown Products,Dead,A6408,3
2407,2010,1,OH,Ohio,Nutrition,Appropriations,DNPAO,Work Place,Lactation Discrimination Prohibition,Dead,H488,3
2408,2010,1,TN,Tennessee,Nutrition,Appropriations,DNPAO,Restaurant/Retail,Litter Control,Enacted,S2551,1
2409,2011,1,NY,New York,Nutrition,Access to Healthy Foods,DNPAO,Restaurant/Retail,Commissioner of Economic Development,Dead,S2700,3
2410,2011,1,MI,Michigan,Nutrition,Disparities/Equity,DNPAO,Community,"A Resolution Related to Buy Local, Select Pure Michigan Day <br>",Enacted,HR128,1
2411,2010,1,AK,Alaska,Nutrition,Farm Direct Foods,DNPAO,School/After School,Grown Agricultural Products,Enacted,H70,1
2412,2009,1,NY,New York,Nutrition,Point of Purchase Promotion,DNPAO,School/After School,High School Athletic Competition Eligibility Exception,Dead,S6054,3
2413,2009,1,MN,Minnesota,Obesity,Body Mass Index (BMI),DNPAO,Community,Transportation,Dead,S807,3
2414,2009,1,WI,Wisconsin,Physical Activity,Built Environment and Street-Scale Design,DNPAO,Community,Bicycle and Pedestrian Accommodations,Enacted,R21438,1
2415,2009,1,MO,Missouri,Obesity,Task Forces/Councils,DNPAO,Community,Commission on Prevention and Management of Obesity,Dead,H1162,3
2416,2010,1,MS,Mississippi,Obesity,Food Restrictions,DNPAO,Community,Farmers Markets,Enacted,H1566,1
2417,2011,1,MI,Michigan,Obesity,Menu Labeling,DNPAO,Community,Downtown Development Authorities,Dead,H4084,3
2418,2013,1,NY,New York,Obesity,Body Mass Index (BMI),DNPAO,School/After School,An Act to Amend the Education Law,Introduced,AB2517,0
2419,2011,1,KS,Kansas,Obesity,Appropriations,DNPAO,Community,Obesity Prevention Council,Dead,H2255,3
2420,2011,1,HI,Hawaii,Nutrition,Task Forces/Councils,DNPAO,Work Place,Tax Credits,Dead,S800,3
2421,2013,1,ND,North Dakota,Nutrition,Access to Healthy Foods,DNPAO,Early Care and Education,Early Childhood Services,Enacted,4608,1
2422,2007,1,UT,Utah,Nutrition,Food Assistance Programs,DNPAO,School/After School,Sales and Use Tax Exemptions for Governmental Entities,Enacted,S22,1
2423,2010,1,LA,Louisiana,Nutrition,Medical Care,DNPAO,Community,Capital Outlay,Enacted,H2,1
2424,2014,3,NH,New Hampshire,Nutrition,Farm Direct Foods,DNPAO,Community,Granite State Farm to Plate Program,Enacted,SB141,1
2425,2011,1,HI,Hawaii,Obesity,Appropriations,DNPAO,Restaurant/Retail,Food and Medical Services,Dead,S269,3
2426,2011,1,SC,South Carolina,Physical Activity,Pedestrians/Walking,DNPAO,Community,Mixed-Use Town Centers,Dead,H3604,3
2427,2009,1,WV,West Virginia,Nutrition,Appropriations,DNPAO,Community,Awareness Program,Dead,H3099,3
2428,2010,1,KY,Kentucky,Nutrition,Appropriations,DNPAO,Community,Appropriations and Revenues,Dead,S1a,3
2429,2009,1,MA,Massachusetts,Physical Activity,Incentives,DNPAO,Restaurant/Retail,Fiscal Recovery Emergency Measure,Dead,H101,3
2430,2011,1,TX,Texas,Nutrition,Farm Direct Foods,DNPAO,School/After School,Public School Beverages,Dead,H127,3
2431,2009,1,NY,New York,Nutrition,Farm Direct Foods,DNPAO,Restaurant/Retail,State Farm Grown Products,Dead,A6408,3
2432,2011,1,ME,Maine,Nutrition,Appropriations,DNPAO,Community,Farm and Fish School Program,Dead,LR585,3
2433,2011,1,TX,Texas,Nutrition,Disparities/Equity,DNPAO,School/After School,Interagency Obesity Council,Dead,S1454,3
2434,2011,1,OK,Oklahoma,Physical Activity,Bicycling,DNPAO,Community,Bicycles,Dead,S951,3
2435,2009,1,OK,Oklahoma,Physical Activity,Bicycling,DNPAO,Community,Motor Vehicles,Dead,H1795,3
2436,2009,1,IL,Illinois,Obesity,Health Insurance Coverage,DNPAO,Community,Affordable Health Insurance Act,Dead,H3773,3
2437,2011,1,HI,Hawaii,Nutrition,Incentives,DNPAO,Community,Health,Dead,S1506,3
2438,2012,1,RI,Rhode Island,Nutrition,Trans Fats,DNPAO,Restaurant/Retail,Sanitation in Food Service Establishments<br>,Dead,S2802,3
2439,2011,1,HI,Hawaii,Nutrition,Trans Fats,DNPAO,School/After School,Taxation,Dead,H1216,3
2440,2011,1,MA,Massachusetts,Nutrition,Nutrition Standards,DNPAO,Community,Nutrition in Government Buildings,Dead,H1525,3
2441,2013,1,NM,New Mexico,Physical Activity,"Parks, Recreation and Trails",DNPAO,Community,Relating to Capital Expenditures,Introduced,SB60,0
2442,2009,1,NY,New York,Obesity,Appropriations,DNPAO,Community,NYS Housing Opportunity Zones Act,Dead,A4001,3
2443,2010,1,NY,New York,Obesity,Appropriations,DNPAO,Community,Qualified School Construction Bonds,Enacted,R21731,1
2444,2011,1,ME,Maine,Nutrition,Appropriations,DNPAO,School/After School,Student Performance,Dead,LR1466,3
2445,2010,1,RI,Rhode Island,Obesity,Incentives,DNPAO,Work Place,Public Officers and Employees,Dead,S2583,3
2446,2011,1,LA,Louisiana,Nutrition,Media Campaigns,DNPAO,Community,Schools,Enacted,SCR14a,1
2447,2010,1,CT,Connecticut,Obesity,Food Restrictions,DNPAO,School/After School,"Farms, Food and Jobs",Enacted,H5419,1
2448,2011,1,FL,Florida,Obesity,Appropriations,DNPAO,Community,Growth Management Provisions,Enacted,H7001,1
2449,2010,1,NC,North Carolina,Obesity,Appropriations,DNPAO,Community,Governors Budget,Dead,H1793,3
2450,2009,1,IL,Illinois,Obesity,Appropriations,DNPAO,Community,Food Stamp Use,Dead,SR272,3
2451,2011,1,MA,Massachusetts,Obesity,Disparities/Equity,DNPAO,Restaurant/Retail,Environmental and Health Impact Reports,Dead,H1157,3
2452,2010,1,MN,Minnesota,Nutrition,Nutrition Standards,DNPAO,School/After School,School District Wellness and Nursing Home Rates,Enacted,S2908,1
2453,2011,1,LA,Louisiana,Nutrition,Food Assistance Programs,DNPAO,School/After School,Senate,Enacted,SR13a,1
2454,2009,1,NC,North Carolina,Nutrition,Medical Care,DNPAO,Community,Intermodal Transport Fund,Dead,S151,3
2455,2010,1,MI,Michigan,Obesity,Appropriations,DNPAO,Community,Public Transit,Dead,S1233,3
2456,2011,1,OR,Oregon,Nutrition,Access to Healthy Foods,DNPAO,Restaurant/Retail,Prohibition of Single Serving of High Calorie Beverage,Dead,H3222,3
2457,2011,1,NJ,New Jersey,Physical Activity,Bicycling,DNPAO,Community,"Bicycles, Forfeited",Dead,A3758,3
2458,2010,1,MD,Maryland,Nutrition,Appropriations,DNPAO,Community,Health Disparities,Dead,H561,3
2459,2010,1,CT,Connecticut,Nutrition,Appropriations,DNPAO,Restaurant/Retail,Vending Machine Sales,Dead,S177,3
2460,2011,1,WA,Washington,Physical Activity,Built Environment and Street-Scale Design,DNPAO,Community,Categorical Exemptions,Dead,H1713,3
2461,2010,1,DE,Delaware,Nutrition,Liability and Indemnity,DNPAO,School/After School,Minor Capital Improvement Programs,Enacted,R2627,1
2462,2011,1,NY,New York,Nutrition,Healthier Food Retail and Food Deserts,DNPAO,School/After School,School Lunch Program,Dead,A536,3
2463,2011,1,VT,Vermont,Nutrition,Healthier Food Retail and Food Deserts,DNPAO,Community,Blue Ribbon Tax Structure Commission,Dead,H122,3
2464,2007,1,HI,Hawaii,Nutrition,Liability and Indemnity,DNPAO,Community,Pedestrian Safety,Enacted,H357,1
2465,2011,1,NY,New York,Nutrition,Agriculture and Farming,DNPAO,School/After School,Statewide School Nutrition Standards,Dead,S1587,3
2466,2013,1,NY,New York,Obesity,Food Restrictions,DNPAO,Restaurant/Retail,An Act to Amend the Public Health Law,Introduced,AB6031,0
2467,2011,1,MT,Montana,Nutrition,Incentives,DNPAO,Community,Soft Drink and Sugared Beverage Excise Tax,Dead,D1204,3
2468,2013,1,NY,New York,Nutrition,Nutrition Standards,DNPAO,School/After School,An Act to Amend the Education Law,Introduced,SB3224,0
2469,2007,1,IA,Iowa,Nutrition,School Nutrition,DNPAO,School/After School,Relating To And Making Appropriations Involving St,Enacted,S551,1
2470,2009,1,NY,New York,Physical Activity,Public Transportation,DNPAO,Community,Tax Credits for Employers,Dead,S4438,3
2471,2011,1,RI,Rhode Island,Nutrition,Access to Healthy Foods,DNPAO,Community,Seafood Marketing,Enacted,H6259,1
2472,2011,1,TN,Tennessee,Nutrition,Farmers Markets,DNPAO,Community,Taxes,Dead,S1636,3
2473,2009,1,PA,Pennsylvania,Obesity,Disparities/Equity,DNPAO,School/After School,National Guard Youth Challenge Program,Dead,S518,3
2474,2014,1,MD,Maryland,Physical Activity,Physical Activity Requirements,DNPAO,School/After School,Student Health and Fitness Act,Introduced,HB1428,0
2475,2003,1,MT,Montana,Nutrition,School Nutrition,DNPAO,School/After School,School Nutrition,Enacted,SJR2,1
2476,2009,1,CA,California,Nutrition,Fruits and Vegetables,DNPAO,Community,Victory Gardens and Microvintners: Taxes: Exemptions,Dead,S362,3
2477,2010,1,IL,Illinois,Nutrition,Task Forces/Councils,DNPAO,Medical and/or Hospital,Chronic Disease Nutrition and Outcomes Commission,Dead,H5752,3
2478,2012,2,MA,Massachusetts,Obesity,Appropriations,DNPAO,School/After School,An Act Making Appropriations,Dead,SB4,3
2479,2009,1,FL,Florida,Obesity,Appropriations,DNPAO,Community,Growth Management,Dead,S362,3
2480,2011,1,IA,Iowa,Nutrition,Appropriations,DNPAO,Community,Federal Grants,Dead,SSB1185,3
2481,2014,3,MO,Missouri,Nutrition,Farm Direct Foods,DNPAO,School/After School,Missouri Farm-to-School Act,Enacted,SB672,1
2482,2007,1,NC,North Carolina,Physical Activity,"Parks, Recreation and Trails",DNPAO,School/After School,Appropriations Act of 2007,Enacted,H2437,1
2483,2009,1,MS,Mississippi,Nutrition,Farmers Markets,DNPAO,Community,Sales Tax,Dead,S2100,3
2484,2011,1,NY,New York,Obesity,Health Insurance Coverage,DNPAO,School/After School,Use of School Facilities,Dead,S3647,3
2485,2009,1,MN,Minnesota,Physical Activity,"Parks, Recreation and Trails",DNPAO,Community,Financing of State and Local Government,Dead,S3327,3
2486,2010,1,ID,Idaho,Physical Activity,Public Safety,DNPAO,Community,Urban Renewal,Dead,H672,3
2487,2013,1,NY,New York,Nutrition,Sodium,DNPAO,Work Place,Omnibus Obesity and Respiratory Illness Reduction Act,Introduced,AB5322,0
2488,2009,1,NY,New York,Nutrition,Farmers Markets,DNPAO,School/After School,Appropriations for Support of Government,Dead,S16v,3
2489,2010,1,MA,Massachusetts,Nutrition,Disparities/Equity,DNPAO,School/After School,Food Policy Council,Enacted,H4568,1
2490,2012,1,KS,Kansas,Nutrition,Agriculture and Farming,DNPAO,Community,An Act Concerning the State Department of Agriculture<br>,Dead,H2761,3
2491,2010,1,MD,Maryland,Obesity,Appropriations,DNPAO,Community,Sustainable Growth,Enacted,H474,1
2492,2005,1,NY,New York,Nutrition,Access to Healthy Foods,DNPAO,Community,An Act Making Appropriations,Enacted,A9553,1
2493,2010,1,HI,Hawaii,Nutrition,Medical Care,DNPAO,Community,Hybrid Bicycles,Dead,S2802,3
2494,2010,1,MD,Maryland,Obesity,Disparities/Equity,DNPAO,School/After School,Public School Transportation,Dead,H644,3
2495,2011,1,WA,Washington,Obesity,Liability and Indemnity,DNPAO,School/After School,Sales and Use Tax on Meals,Dead,H2095,3
2496,2011,1,IA,Iowa,Nutrition,Access to Healthy Foods,DNPAO,Community,Federal Fiscal Year,Dead,HSB172,3
